CLUSTER,2
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD76,0.060134,19.09,6.42857,1.42857,0.477251,0.650016,0.705214,0.314031,-0.276169,9.80719,
TD77,0.060018,18.4672,6.42857,1.42857,0.461681,0.650046,0.725857,0.325331,-0.258233,9.50446,
TD78,0.059928,17.8891,6.42857,1.42857,0.447227,0.64997,0.744214,0.336315,-0.241503,9.22302,
TD79,0.060133,17.3461,6.42857,1.42857,0.433651,0.649899,0.7605,0.346343,-0.225788,8.95779,
TD80,0.060079,21.3806,6.42857,0.428571,0.172147,0.449991,1.37786,0.426752,-0.841969,10.6838,
TD81,0.060044,21.126,6.42857,0.428571,0.170097,0.450077,1.38271,0.429325,-0.830754,10.5618,
TD82,0.060007,20.6449,6.42857,0.428571,0.166223,0.449967,1.39179,0.433843,-0.809674,10.3313,
TD83,0.060013,20.4209,6.42857,0.428571,0.16442,0.450016,1.39607,0.436041,-0.799737,10.2238,
TD84,0.060045,19.9936,6.42857,0.428571,0.160979,0.449936,1.40414,0.440116,-0.781069,10.0187,
TD85,0.05992,19.7928,6.42857,0.428571,0.159363,0.45004,1.40793,0.442072,-0.772271,9.92207,
TD86,0.060019,19.4123,6.42857,0.428571,0.156299,0.449984,1.41514,0.445608,-0.755705,9.73914,
TD87,0.059926,19.232,6.42857,0.428571,0.154847,0.449985,1.4185,0.447352,-0.747755,9.65237,
TD88,0.059933,18.8926,6.42857,0.428571,0.152114,0.449954,1.42493,0.450411,-0.733039,9.4889,
TD89,0.059985,18.5789,6.42857,0.428571,0.149589,0.449963,1.43086,0.453403,-0.719521,9.33777,
TD90,0.060062,18.2835,6.42857,0.428571,0.14721,0.450022,1.43643,0.456058,-0.706757,9.1952,
TD91,0.060044,18.0131,6.42857,0.428571,0.145033,0.450036,1.44157,0.458448,-0.694996,9.06469,
TD92,0.06006,17.7606,6.42857,0.428571,0.143,0.450021,1.44636,0.460746,-0.684256,8.9428,
TD93,0.059969,17.525,6.42857,0.428571,0.141103,0.449979,1.45086,0.462819,-0.674051,8.82898,
TD94,0.060061,17.3077,6.42857,0.428571,0.139353,0.449972,1.455,0.464744,-0.664855,8.7238,
TD95,0.060055,17.1074,6.42857,0.428571,0.137741,0.45,1.45886,0.466529,-0.656336,8.627,
TD96,0.059854,17.5182,6.42857,1.42857,0.291971,0.475036,0.865357,0.443504,-0.298978,8.92642,
TD97,0.060019,19.4123,5,1.42857,0.234448,0.474992,1.21607,0.451078,-0.060019,9.94217,
TD98,0.059926,19.232,5,1.42857,0.23227,0.474915,1.21871,0.452617,-0.055435,9.85212,
TD99,0.059933,18.8926,5,1.42857,0.228172,0.475053,1.22379,0.455583,-0.046851,9.68284,
TD100,0.059985,18.5789,5,1.42857,0.224383,0.475093,1.22857,0.45834,-0.038893,9.52625,
TD101,0.060062,18.2835,5,1.42857,0.220816,0.474901,1.233,0.460768,-0.03165,9.37877,
TD102,0.060044,18.0131,5,1.42857,0.217549,0.474982,1.23721,0.463234,-0.025091,9.2438,
TD103,0.06006,17.7606,5,1.42857,0.2145,0.475046,1.24114,0.465322,-0.018876,9.11769,
TD104,0.059969,17.525,5,1.42857,0.211655,0.474954,1.24479,0.467335,-0.013405,9,
TD105,0.060061,17.3077,5,1.42857,0.20903,0.474916,1.24821,0.469203,-0.008222,8.8913,
TD106,0.060055,17.1074,5,1.42857,0.206612,0.475069,1.25143,0.470937,-0.003581,8.79119,
TD107,0.060081,20.3666,6.42857,1.42857,0.509165,0.525119,0.5135,0.307196,-0.34148,10.2953,
TD108,0.059981,18.7441,6.42857,1.42857,0.468604,0.525148,0.590929,0.331459,-0.3199,9.51703,
TD109,0.059854,17.5182,6.42857,1.42857,0.437956,0.524964,0.644857,0.350073,-0.298102,8.92613,
TD110,0.060081,20.3666,6.42857,1.42857,0.509165,0.549898,0.545,0.303802,-0.341141,10.3215,
