Data_description,
Input5,Base Distance For Rake Angle Measurement,
Input7,Wheel Diameter,
Input8,Profile Angle,
Input11,Rake Angle,
Input12,Circular Land,
Input13,Small Core Diameter,
Output0,Wheel Setting Angle,
Output1,Minimum Wheel Width,
Output2,Wheel Displacement,
Output3,Distance Between Axes,
Data begin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD77,0.059928,23.852117,3.000000,0.200000,0.387597,0.600179,0.903867,0.301729,-2.743590,11.088551,
TD78,0.060133,23.128072,3.000000,0.200000,0.375831,0.599884,0.924167,0.311651,-2.664354,10.816132,
TD79,0.060062,22.452989,3.000000,0.200000,0.364861,0.600056,0.941800,0.320797,-2.585462,10.556834,
TD80,0.060027,21.828104,3.000000,0.200000,0.354707,0.600000,0.957233,0.329604,-2.508595,10.312960,
TD81,0.059995,21.237059,3.000000,0.200000,0.345102,0.599947,0.970900,0.337935,-2.433501,10.078046,
TD82,0.059964,20.677178,3.000000,0.200000,0.336004,0.599897,0.983033,0.345826,-2.360558,9.851900,
TD83,0.059965,20.156211,3.000000,0.200000,0.327538,0.599899,0.993867,0.353238,-2.291257,9.639456,
TD84,0.059966,19.660850,3.000000,0.200000,0.319489,0.599902,1.003633,0.360285,-2.224871,9.434751,
TD85,0.059995,19.198464,3.000000,0.200000,0.311975,0.599952,1.012467,0.366931,-2.161987,9.242141,
TD86,0.060023,18.757327,3.000000,0.200000,0.304807,0.600000,1.020500,0.373271,-2.101993,9.056506,
TD87,0.060064,18.340211,3.000000,0.200000,0.298028,0.599954,1.027833,0.379184,-2.044934,8.879642,
TD88,0.060103,17.941242,3.000000,0.200000,0.291545,0.599910,1.034533,0.384840,-1.990357,8.708903,
TD89,0.059947,17.566974,3.000000,0.200000,0.285463,0.600132,1.040733,0.390206,-1.939174,8.548090,
TD90,0.060089,16.866962,3.000000,0.200000,0.274088,0.600042,1.051733,0.400380,-1.843770,8.244571,
TD91,0.059967,16.542597,3.000000,0.200000,0.268817,0.599876,1.056667,0.405087,-1.799628,8.102771,
TD92,0.060065,16.233766,3.000000,0.200000,0.263799,0.600041,1.061267,0.409497,-1.757711,7.967127,
TD93,0.059972,15.939430,3.000000,0.200000,0.259016,0.600120,1.065567,0.413827,-1.718071,7.837418,
TD94,0.060078,15.655577,3.000000,0.200000,0.254403,0.600000,1.069600,0.418004,-1.679843,7.711742,
TD95,0.060000,15.384615,3.000000,0.200000,0.250000,0.600000,1.073367,0.421923,-1.643654,7.591346,
TD96,0.059936,15.125733,3.000000,0.200000,0.245793,0.599924,1.076933,0.425600,-1.609000,7.475893,
TD97,0.060071,14.878185,3.000000,0.200000,0.241771,0.599963,1.080300,0.429236,-1.576158,7.365259,
TD98,0.060029,14.641288,3.000000,0.200000,0.237921,0.599927,1.083467,0.432650,-1.544839,7.258968,
TD99,0.059989,14.411818,3.000000,0.200000,0.234192,0.599892,1.086500,0.435957,-1.514682,7.155828,
TD100,0.059955,13.983569,3.000000,0.200000,0.227233,0.600070,1.092067,0.442230,-1.458836,6.962594,
TD101,0.059948,13.781223,3.000000,0.200000,0.223945,0.600000,1.094633,0.445134,-1.432558,6.870973,
TD102,0.059952,13.586957,3.000000,0.200000,0.220788,0.600034,1.097100,0.448030,-1.407439,6.782779,
TD103,0.059956,13.398091,3.000000,0.200000,0.217719,0.599900,1.099467,0.450678,-1.383185,6.696868,
TD104,0.059980,13.218771,3.000000,0.200000,0.214805,0.599967,1.101700,0.453239,-1.360212,6.615169,
TD105,0.060035,12.876227,3.000000,0.200000,0.209239,0.600032,1.105933,0.458233,-1.316594,6.458716,
TD106,0.060076,12.714558,3.000000,0.200000,0.206612,0.599968,1.107900,0.460585,-1.296249,6.384774,
TD107,0.059969,12.558870,3.000000,0.200000,0.204082,0.600000,1.109800,0.462794,-1.276609,6.313501,
TD108,0.059933,12.262416,3.000000,0.200000,0.199264,0.599939,1.113367,0.467045,-1.239577,6.177192,
TD109,0.060000,12.121212,3.000000,0.200000,0.196970,0.600000,1.115067,0.469091,-1.221970,6.112273,
TD110,0.059925,11.985019,3.000000,0.200000,0.194757,0.600000,1.116700,0.471011,-1.205094,6.049438,
TD111,0.059953,11.726766,3.000000,0.200000,0.190560,0.599971,1.119767,0.474787,-1.173263,5.930226,
TD112,0.060052,11.604294,3.000000,0.200000,0.188570,0.600087,1.121233,0.476646,-1.158254,5.873658,
TD113,0.060006,11.484353,3.000000,0.200000,0.186621,0.600057,1.122633,0.478323,-1.143554,5.818117,
TD114,0.059941,11.256508,3.000000,0.200000,0.182918,0.599972,1.125333,0.481497,-1.115801,5.712537,
TD115,0.060061,11.148272,3.000000,0.200000,0.181159,0.600056,1.126600,0.483138,-1.102703,5.662207,
TD116,0.060038,10.940919,3.000000,0.200000,0.177790,0.599973,1.129067,0.486050,-1.077817,5.565919,
TD117,0.060043,10.843047,3.000000,0.200000,0.176200,0.600027,1.130200,0.487530,-1.066007,5.520466,
TD118,0.060061,10.653882,3.000000,0.200000,0.173126,0.599947,1.132433,0.490212,-1.043415,5.432281,
TD119,0.059950,10.563845,3.000000,0.200000,0.171662,0.600026,1.133500,0.491483,-1.032748,5.390334,
TD120,0.060008,10.390960,3.000000,0.200000,0.168853,0.599948,1.135533,0.493960,-1.012339,5.309651,
TD121,0.060044,10.307950,3.000000,0.200000,0.167504,0.599923,1.136500,0.495039,-1.002448,5.270841,
TD122,0.060018,10.150996,3.000000,0.200000,0.164954,0.600051,1.138367,0.497399,-0.984012,5.197437,
TD123,0.060008,10.001250,3.000000,0.200000,0.162520,0.599950,1.140133,0.499437,-0.966496,5.127391,
TD124,0.059955,9.930487,3.000000,0.200000,0.161370,0.600050,1.140967,0.500497,-0.958292,5.094215,
TD125,0.059983,9.793120,3.000000,0.200000,0.159138,0.599951,1.142600,0.502387,-0.942343,5.029747,
TD126,0.060039,9.664170,3.000000,0.200000,0.157043,0.600024,1.144133,0.504107,-0.927398,4.969316,
TD127,0.059995,9.541985,3.000000,0.200000,0.155057,0.599952,1.145567,0.505844,-0.913287,4.911856,
TD128,0.059981,9.427292,3.000000,0.200000,0.153193,0.600047,1.146967,0.507542,-0.900189,4.858001,
TD129,0.059988,9.318579,3.000000,0.200000,0.151427,0.600000,1.148267,0.509027,-0.887711,4.806872,
TD130,0.060016,9.215528,3.000000,0.200000,0.149752,0.600046,1.149500,0.510425,-0.875936,4.758438,
TD131,0.059950,9.117848,3.000000,0.200000,0.148165,0.599954,1.150667,0.511739,-0.864942,4.712332,
TD132,0.060025,9.026289,3.000000,0.200000,0.146677,0.600023,1.151800,0.513032,-0.854564,4.669187,
TD133,0.059956,8.898776,3.000000,0.200000,0.144605,0.600000,1.153333,0.514794,-0.840156,4.609121,
TD134,0.059971,8.819314,3.000000,0.200000,0.143314,0.599934,1.154300,0.515930,-0.831220,4.571602,
TD135,0.059989,8.709853,3.000000,0.200000,0.141535,0.600000,1.155667,0.517474,-0.818944,4.519869,
TD136,0.059948,8.641175,3.000000,0.200000,0.140419,0.600022,1.156500,0.518362,-0.811190,4.487470,
TD137,0.060043,8.547009,3.000000,0.200000,0.138889,0.600000,1.157667,0.519658,-0.800748,4.442949,
TD138,0.059968,8.461132,3.000000,0.200000,0.137493,0.600000,1.158733,0.520888,-0.791222,4.402327,
TD139,0.059985,8.360330,3.000000,0.200000,0.135855,0.599958,1.160000,0.522207,-0.780019,4.354583,
TD140,0.059979,8.273009,3.000000,0.200000,0.134436,0.600000,1.161100,0.523475,-0.770424,4.313237,
TD141,0.059951,8.198401,3.000000,0.200000,0.133224,0.600020,1.162033,0.524390,-0.762144,4.277926,
TD142,0.060016,8.110300,3.000000,0.200000,0.131792,0.599959,1.163167,0.525649,-0.752534,4.236111,
TD143,0.059952,8.033742,3.000000,0.200000,0.130548,0.600020,1.164133,0.526712,-0.744125,4.199839,
TD144,0.059995,15.927794,3.000000,0.200000,0.345102,0.599947,0.968233,0.338466,-1.846297,7.636315,
TD145,0.059964,15.507883,3.000000,0.200000,0.336004,0.599897,0.980533,0.346084,-1.791677,7.466529,
TD146,0.059965,15.117158,3.000000,0.200000,0.327538,0.599899,0.991600,0.353238,-1.739733,7.307130,
TD147,0.059966,14.745638,3.000000,0.200000,0.319489,0.599902,1.001567,0.360039,-1.689850,7.153355,
TD148,0.059995,14.398848,3.000000,0.200000,0.311975,0.599952,1.010633,0.366691,-1.642669,7.008879,
TD149,0.060023,14.067995,3.000000,0.200000,0.304807,0.600000,1.018867,0.372802,-1.597655,6.869637,
TD150,0.060064,13.755158,3.000000,0.200000,0.298028,0.599954,1.026433,0.378725,-1.554791,6.737047,
TD151,0.060103,13.455932,3.000000,0.200000,0.291545,0.599910,1.033367,0.384167,-1.513792,6.609105,
TD152,0.059947,13.175231,3.000000,0.200000,0.285463,0.600132,1.039800,0.389548,-1.475187,6.488362,
TD153,0.060089,12.650221,3.000000,0.200000,0.274088,0.600042,1.051233,0.399325,-1.403331,6.260595,
TD154,0.059967,12.406948,3.000000,0.200000,0.268817,0.599876,1.056400,0.403846,-1.370141,6.154467,
TD155,0.060065,12.175325,3.000000,0.200000,0.263799,0.600041,1.061200,0.408279,-1.338474,6.052760,
TD156,0.059972,11.954573,3.000000,0.200000,0.259016,0.600120,1.065700,0.412632,-1.308428,5.955569,
TD157,0.060078,11.741683,3.000000,0.200000,0.254403,0.600000,1.069933,0.416438,-1.279648,5.861252,
TD158,0.060000,11.538462,3.000000,0.200000,0.250000,0.600000,1.073933,0.420385,-1.252308,5.770962,
TD159,0.059936,11.344299,3.000000,0.200000,0.245793,0.599924,1.077700,0.424088,-1.226319,5.684439,
TD160,0.060071,11.158639,3.000000,0.200000,0.241771,0.599963,1.081233,0.427562,-1.201413,5.601637,
TD161,0.060029,10.980966,3.000000,0.200000,0.237921,0.599927,1.084600,0.431003,-1.177709,5.521962,
TD162,0.059989,10.808863,3.000000,0.200000,0.234192,0.599892,1.087800,0.434156,-1.154927,5.444605,
TD163,0.059955,10.487677,3.000000,0.200000,0.227233,0.600070,1.093767,0.440308,-1.112393,5.299773,
TD164,0.059948,10.335917,3.000000,0.200000,0.223945,0.600000,1.096500,0.443239,-1.092506,5.231180,
TD165,0.059952,10.190217,3.000000,0.200000,0.220788,0.600034,1.099167,0.445992,-1.073539,5.165082,
TD166,0.059956,10.048568,3.000000,0.200000,0.217719,0.599900,1.101667,0.448501,-1.055100,5.100653,
TD167,0.059980,9.914078,3.000000,0.200000,0.214805,0.599967,1.104100,0.451091,-1.037673,5.039491,
TD168,0.060035,9.657170,3.000000,0.200000,0.209239,0.600032,1.108633,0.455979,-1.004668,4.922099,
TD169,0.060076,9.535919,3.000000,0.200000,0.206612,0.599968,1.110767,0.458201,-0.989193,4.866656,
TD170,0.059969,9.419152,3.000000,0.200000,0.204082,0.600000,1.112800,0.460440,-0.974254,4.813187,
TD171,0.059933,9.196812,3.000000,0.200000,0.199264,0.599939,1.116667,0.464592,-0.946045,4.711067,
TD172,0.060000,9.090909,3.000000,0.200000,0.196970,0.600000,1.118500,0.466515,-0.932727,4.662424,
TD173,0.059925,8.988764,3.000000,0.200000,0.194757,0.600000,1.120267,0.468464,-0.919850,4.615281,
TD174,0.059953,8.795075,3.000000,0.200000,0.190560,0.599971,1.123633,0.472149,-0.895632,4.525945,
TD175,0.060052,8.703220,3.000000,0.200000,0.188570,0.600087,1.125233,0.473890,-0.884247,4.483609,
TD176,0.060006,8.613264,3.000000,0.200000,0.186621,0.600057,1.126767,0.475596,-0.873098,4.441860,
TD177,0.059941,8.442381,3.000000,0.200000,0.182918,0.599972,1.129700,0.478683,-0.851977,4.362741,
TD178,0.060061,8.361204,3.000000,0.200000,0.181159,0.600056,1.131133,0.480212,-0.842113,4.325111,
TD179,0.060038,8.205689,3.000000,0.200000,0.177790,0.599973,1.133800,0.483042,-0.823031,4.252735,
TD180,0.060043,8.132285,3.000000,0.200000,0.176200,0.600027,1.135067,0.484549,-0.814042,4.218623,
TD181,0.060061,7.990412,3.000000,0.200000,0.173126,0.599947,1.137533,0.487149,-0.796910,4.152617,
TD182,0.059950,7.922884,3.000000,0.200000,0.171662,0.600026,1.138700,0.488314,-0.788723,4.121088,
TD183,0.060008,7.793220,3.000000,0.200000,0.168853,0.599948,1.140933,0.490713,-0.773217,4.060657,
TD184,0.060044,7.730963,3.000000,0.200000,0.167504,0.599923,1.142000,0.491818,-0.765752,4.031568,
TD185,0.060018,7.613247,3.000000,0.200000,0.164954,0.600051,1.144067,0.494100,-0.751681,3.976526,
TD186,0.060008,7.500938,3.000000,0.200000,0.162520,0.599950,1.146033,0.496062,-0.738342,3.923990,
TD187,0.059955,7.447865,3.000000,0.200000,0.161370,0.600050,1.146967,0.497145,-0.732001,3.899081,
TD188,0.059983,7.344840,3.000000,0.200000,0.159138,0.599951,1.148767,0.498959,-0.719794,3.850777,
TD189,0.060039,7.248128,3.000000,0.200000,0.157043,0.600024,1.150467,0.500725,-0.708504,3.805509,
TD190,0.059995,7.156489,3.000000,0.200000,0.155057,0.599952,1.152100,0.502385,-0.697758,3.762405,
TD191,0.059981,7.070469,3.000000,0.200000,0.153193,0.600047,1.153633,0.504007,-0.687721,3.722013,
TD192,0.059988,6.988934,3.000000,0.200000,0.151427,0.600000,1.155100,0.505416,-0.678160,3.683634,
TD193,0.060016,6.911646,3.000000,0.200000,0.149752,0.600046,1.156467,0.506854,-0.669278,3.647276,
TD194,0.059950,6.838386,3.000000,0.200000,0.148165,0.599954,1.157800,0.508092,-0.660816,3.612719,
TD195,0.060025,6.769717,3.000000,0.200000,0.146677,0.600023,1.159033,0.509308,-0.652826,3.580390,
TD196,0.059956,6.674082,3.000000,0.200000,0.144605,0.600000,1.160767,0.511123,-0.641824,3.535261,
TD197,0.059971,6.614486,3.000000,0.200000,0.143314,0.599934,1.161867,0.512071,-0.634991,3.507111,
TD198,0.059989,6.532390,3.000000,0.200000,0.141535,0.600000,1.163400,0.513664,-0.625694,3.468372,
TD199,0.059948,6.480881,3.000000,0.200000,0.140419,0.600022,1.164333,0.514474,-0.619788,3.444048,
TD200,0.060043,6.410256,3.000000,0.200000,0.138889,0.600000,1.165633,0.515812,-0.611752,3.410684,
TD201,0.059968,6.345849,3.000000,0.200000,0.137493,0.600000,1.166833,0.516869,-0.604548,3.380222,
TD202,0.059985,6.270248,3.000000,0.200000,0.135855,0.599958,1.168267,0.518236,-0.595987,3.344446,
TD203,0.059979,6.204757,3.000000,0.200000,0.134436,0.600000,1.169500,0.519442,-0.588625,3.313444,
TD204,0.059951,6.148801,3.000000,0.200000,0.133224,0.600020,1.170567,0.520394,-0.582291,3.286842,
TD205,0.060016,6.082725,3.000000,0.200000,0.131792,0.599959,1.171833,0.521492,-0.574919,3.255576,
TD206,0.059952,6.025306,3.000000,0.200000,0.130548,0.600020,1.172967,0.522595,-0.568488,3.228359,
TD207,0.059868,43.230073,3.000000,0.200000,0.452489,0.600070,0.756400,0.241559,-4.592760,19.150017,
TD208,0.059930,39.591967,3.000000,0.200000,0.414409,0.599936,0.853200,0.276060,-4.444055,17.952821,
TD209,0.059861,39.130435,3.000000,0.200000,0.409578,0.600189,0.863867,0.280403,-4.408633,17.793006,
TD210,0.059958,36.865539,3.000000,0.200000,0.385871,0.599881,0.909933,0.301276,-4.195013,16.975067,
TD211,0.059994,34.819176,3.000000,0.200000,0.364452,0.599944,0.945633,0.320437,-3.961873,16.200729,
TD212,0.060054,33.297587,3.000000,0.200000,0.348525,0.600000,0.968967,0.334584,-3.772118,15.604021,
TD213,0.059947,32.944297,3.000000,0.200000,0.344828,0.600000,0.974000,0.337666,-3.726525,15.462865,
TD214,0.059934,31.675593,3.000000,0.200000,0.331548,0.599847,0.991267,0.349656,-3.560061,14.950523,
TD215,0.060109,30.849478,3.000000,0.200000,0.322901,0.600099,1.001833,0.357427,-3.449329,14.611525,
TD216,0.060034,30.065359,3.000000,0.200000,0.314694,0.600097,1.011267,0.364803,-3.343500,14.285887,
